Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
albon,1:32.337,1:26.843,1:29.103,1:26.238,1:26.252,1:28.691,1:26.249,1:26.492,1:26.011,1:25.555,1:25.724,1:25.387,1:25.600,1:25.846,1:25.212,1:25.594,1:25.625,1:25.958,1:25.528,1:25.761,1:25.977,1:25.978,1:26.101,1:25.886,1:26.278,1:30.275,1:50.751,1:42.644,1:25.364,1:43.888,1:29.542,1:24.714,1:24.411,1:24.396,1:23.948,1:23.969,1:23.861,1:23.770,1:23.867,1:23.610,1:23.596,1:23.672,1:23.520,1:23.435,1:23.364,1:23.390,1:23.466,1:23.804,1:23.756,1:23.803,1:23.600,1:23.654,1:23.684
bottas,1:28.001,1:25.586,1:25.135,1:25.158,1:25.315,1:24.999,1:25.063,1:25.210,1:24.941,1:24.642,1:24.818,1:24.973,1:24.971,1:25.193,1:25.284,1:25.069,1:24.673,1:24.915,1:24.989,1:25.014,1:25.128,1:24.929,1:24.847,1:24.970,1:25.115,1:25.199,1:29.671,1:43.415,1:38.335,1:22.896,1:46.262,1:24.019,1:23.537,1:23.651,1:23.494,1:23.115,1:23.371,1:23.179,1:23.173,1:23.316,1:23.016,1:23.378,1:23.011,1:22.974,1:23.078,1:23.874,1:22.859,1:23.137,1:23.070,1:22.971,1:23.816,1:22.961,1:23.784
gasly,1:34.820,1:27.440,1:27.313,1:27.121,1:26.515,1:34.294,1:27.838,1:27.868,1:26.593,1:26.083,1:26.331,1:25.695,1:26.329,1:26.505,1:26.575,1:26.055,1:26.155,1:27.272,1:26.253,1:26.089,1:26.109,1:26.284,1:26.311,1:26.042,1:25.933,1:25.954,1:25.731,1:42.204,1:45.040,1:47.140,1:27.411,1:26.072,1:25.004,1:25.211,1:24.879,1:24.564,1:24.564,1:24.609,1:24.579,1:24.649,1:24.508,1:24.485,1:24.558,1:24.470,1:24.528,1:24.309,1:24.317,1:27.694,1:24.423,1:24.268,1:23.885,1:24.025,
giovinazzi,1:32.702,1:27.258,1:27.150,1:26.073,1:25.903,1:28.212,1:25.907,1:25.769,1:25.911,1:26.052,1:26.148,1:26.126,1:26.038,1:26.491,1:27.033,1:26.550,1:26.099,1:26.292,1:26.107,1:26.212,1:30.616,1:47.197,1:25.940,1:25.544,1:25.327,1:25.365,1:25.477,1:41.727,1:26.591,1:43.787,1:30.151,1:25.100,1:26.813,1:24.824,1:24.843,1:24.913,1:25.010,1:25.925,1:25.120,1:24.674,1:25.597,1:24.680,1:24.631,1:24.503,1:24.759,1:24.847,1:24.597,1:24.581,1:24.933,1:24.549,1:24.819,1:28.100,
grosjean,1:35.756,1:28.943,1:28.722,1:28.378,1:27.653,1:27.510,1:40.634,1:49.760,1:26.366,1:26.394,1:26.225,1:26.465,1:27.981,1:26.735,1:26.948,1:26.396,1:26.583,1:26.813,1:31.098,1:26.730,1:26.602,1:26.445,1:27.526,1:26.829,1:27.126,1:26.735,1:29.458,1:40.815,1:35.178,1:57.856,1:24.985,1:25.435,1:25.437,1:25.411,1:26.383,1:27.702,1:26.213,1:27.249,1:26.364,1:27.788,1:25.873,1:27.306,1:26.005,1:25.389,1:25.473,1:25.203,1:28.124,1:25.430,1:25.145,1:25.514,1:25.831,1:26.520,
hamilton,1:27.298,1:25.433,1:25.000,1:25.151,1:25.234,1:24.713,1:24.915,1:24.892,1:25.122,1:24.857,1:24.999,1:24.814,1:25.021,1:25.156,1:24.972,1:24.769,1:24.888,1:25.041,1:29.456,1:43.243,1:24.723,1:24.196,1:24.924,1:24.258,1:24.220,1:23.915,1:23.724,1:23.834,1:39.524,1:24.425,1:46.845,1:23.592,1:24.164,1:23.711,1:23.659,1:24.127,1:24.027,1:23.510,1:23.756,1:23.891,1:23.360,1:26.028,1:23.813,1:23.961,1:23.574,1:23.796,1:24.125,1:24.101,1:28.687,1:44.537,1:21.779,1:24.122,1:25.982
hulkenberg,1:29.232,1:26.920,1:26.026,1:26.031,1:26.743,1:26.331,1:26.090,1:26.133,1:26.024,1:25.934,1:25.681,1:25.713,1:25.721,1:25.806,1:25.671,1:25.539,1:25.565,1:25.790,1:25.585,1:25.563,1:25.797,1:25.930,1:27.736,1:25.965,1:25.862,1:25.758,1:25.726,1:27.756,1:43.757,2:00.021,1:33.766,1:25.180,1:25.322,1:25.185,1:24.757,1:24.768,1:24.891,1:24.730,1:24.291,1:24.361,1:24.351,1:24.093,1:23.813,1:23.878,1:23.943,1:24.018,1:24.007,1:24.132,1:24.061,1:23.835,1:23.742,1:23.659,1:23.641
kevin_magnussen,1:33.363,1:27.354,1:26.926,1:26.242,1:26.450,1:28.303,1:26.476,1:28.385,1:27.726,1:26.791,1:27.387,1:27.161,1:26.775,1:26.562,1:26.469,1:26.225,1:26.322,1:26.377,1:26.287,1:31.215,1:45.229,1:25.305,1:25.540,1:25.747,1:25.261,1:25.535,1:25.484,1:42.337,1:25.406,1:47.053,1:30.114,1:25.249,1:25.568,1:34.772,1:45.637,1:24.496,1:24.908,1:24.443,1:24.972,1:24.899,1:25.431,1:25.411,1:32.919,,,,,,,,,,
kubica,1:34.659,1:28.801,1:28.233,1:28.618,1:28.747,1:29.079,1:29.061,1:28.457,1:28.930,1:29.432,1:28.305,1:27.788,1:27.997,1:27.748,1:27.907,1:28.537,1:27.826,1:27.628,1:27.707,1:27.430,1:27.284,1:27.307,1:27.420,1:27.610,1:27.101,1:27.512,1:27.552,1:42.817,1:32.890,2:08.219,1:26.113,1:28.323,1:26.287,1:26.741,1:27.617,1:27.053,1:26.920,1:26.709,1:26.717,1:27.613,1:26.169,1:27.245,1:26.100,1:39.222,1:45.306,1:25.367,1:24.989,1:25.261,1:25.603,1:25.010,1:25.017,,
kvyat,1:33.839,1:27.262,1:27.708,1:26.331,1:26.412,1:28.300,1:26.374,1:27.591,1:25.931,1:26.005,1:25.996,1:25.899,1:25.968,1:26.087,1:25.836,1:25.936,1:26.045,1:26.046,1:25.772,1:26.101,1:26.062,1:25.993,1:25.789,1:26.010,1:25.949,1:26.038,1:26.188,1:38.338,1:46.391,,,,,,,,,,,,,,,,,,,,,,,,
leclerc,1:26.573,1:25.194,1:24.954,1:24.949,1:24.907,1:24.900,1:25.062,1:25.024,1:24.987,1:25.010,1:24.926,1:24.682,1:24.907,1:24.975,1:24.938,1:24.896,1:24.935,1:24.900,1:25.289,1:28.847,1:44.216,1:24.499,1:24.659,1:24.121,1:24.497,1:23.532,1:23.858,1:23.739,1:39.724,1:23.848,1:47.237,1:23.865,1:24.076,1:23.614,1:23.779,1:24.046,1:24.023,1:23.705,1:23.402,1:23.777,1:23.295,1:23.723,1:23.270,1:23.273,1:23.331,1:23.349,1:23.009,1:23.205,1:23.166,1:23.679,1:23.145,1:23.426,1:23.722
max_verstappen,1:41.132,1:51.395,1:24.532,1:24.662,1:24.579,1:25.029,1:24.798,1:25.019,1:25.075,1:26.396,1:26.283,1:24.988,1:25.412,1:25.809,1:25.126,1:24.852,1:25.016,1:25.153,1:25.508,1:25.997,1:26.456,1:25.579,1:26.192,1:26.178,1:25.723,1:26.236,1:29.988,2:01.950,1:24.413,1:46.978,1:26.950,1:24.896,1:25.413,1:24.447,1:23.338,1:23.437,1:23.414,1:23.569,1:23.407,1:23.859,1:23.143,1:23.446,1:23.607,1:23.552,1:24.786,1:24.881,1:24.104,1:24.177,1:24.037,1:23.988,1:23.756,1:24.121,1:24.375
norris,1:36.586,1:29.069,1:28.408,1:28.173,1:28.004,1:27.996,1:27.731,1:26.333,1:26.309,1:26.282,1:26.307,1:25.953,1:25.910,1:26.391,1:26.470,1:26.046,1:26.102,1:26.181,1:25.877,1:25.976,1:26.641,1:27.422,1:30.637,1:45.832,1:25.082,1:24.921,1:25.079,1:41.443,1:24.696,1:47.664,1:26.986,1:25.274,1:25.434,1:24.589,1:25.595,1:24.760,1:24.380,1:24.373,1:24.712,1:24.514,1:24.500,1:24.485,1:24.265,1:24.095,1:24.427,1:24.359,1:24.238,1:24.392,1:24.379,1:27.441,1:24.322,1:24.044,
perez,1:36.200,1:28.982,1:27.504,1:28.126,1:26.524,1:27.290,1:25.606,1:25.718,1:26.187,1:26.563,1:27.438,1:27.376,1:26.839,1:26.626,1:26.229,1:26.216,1:26.499,1:26.162,1:26.136,1:27.306,1:26.197,1:26.096,1:26.583,1:25.822,1:25.835,1:25.810,1:25.615,1:41.911,1:45.590,1:48.250,1:25.708,1:24.251,1:24.133,1:24.101,1:23.770,1:24.106,1:24.515,1:24.082,1:24.290,1:24.230,1:24.031,1:24.097,1:24.007,1:23.984,1:24.781,1:24.784,1:24.035,1:24.014,1:23.971,1:24.089,1:23.917,1:24.105,1:24.230
raikkonen,1:37.442,1:28.920,1:27.777,1:28.612,1:28.658,1:27.787,1:28.554,1:28.326,1:26.205,1:26.406,1:26.825,1:26.243,1:26.672,1:26.477,1:27.418,1:26.451,1:26.510,1:26.831,1:31.093,1:54.850,1:27.889,1:26.828,1:26.911,1:26.516,1:26.439,1:30.552,1:54.053,1:32.156,1:32.525,1:41.557,1:24.863,1:25.221,1:26.332,1:26.628,1:25.868,1:25.888,1:25.744,1:25.728,1:25.374,1:25.338,1:25.293,1:24.958,1:25.048,1:25.266,1:24.642,1:24.588,1:26.637,1:25.725,1:24.483,1:25.233,1:25.106,1:24.419,
ricciardo,1:30.436,1:26.483,1:26.108,1:25.549,1:25.345,1:26.246,1:26.043,1:25.887,1:25.907,1:25.695,1:25.686,1:25.705,1:25.558,1:25.509,1:25.536,1:25.426,1:25.498,1:25.327,1:25.803,1:25.538,1:25.451,1:25.427,1:25.381,1:25.470,1:25.654,1:27.263,1:25.396,1:25.763,1:40.158,1:30.457,1:56.981,1:24.432,1:25.111,1:25.368,1:25.034,1:25.193,1:25.039,1:24.904,1:25.012,1:24.864,1:24.765,1:24.667,1:24.635,1:24.223,1:24.504,1:25.363,1:24.158,1:23.524,1:23.803,1:23.919,1:23.948,1:23.562,1:23.466
russell,1:35.318,1:28.634,1:28.190,1:29.196,1:29.715,1:29.352,1:28.102,1:27.933,1:28.485,1:26.844,1:28.076,1:26.580,1:27.045,1:26.899,1:27.121,1:26.909,1:26.613,1:26.961,1:26.841,1:27.134,1:26.925,1:26.425,1:30.435,1:45.502,1:26.739,1:25.312,1:25.235,1:41.669,1:25.928,1:48.162,1:25.559,1:28.183,1:27.199,1:26.569,1:25.300,1:24.991,1:25.291,1:25.071,1:25.057,1:24.934,1:24.876,1:25.032,1:25.240,1:24.974,1:25.308,1:25.197,1:27.134,1:25.450,1:25.741,1:25.393,1:24.842,1:25.814,
sainz,1:31.738,1:26.935,1:27.600,1:25.858,1:25.728,1:26.850,1:25.745,1:25.828,1:26.042,1:25.637,1:25.879,1:26.004,1:25.841,1:25.944,1:26.235,1:25.862,1:26.043,1:26.190,1:26.081,1:26.342,1:26.314,1:26.116,1:26.123,1:25.955,1:26.068,1:26.046,1:30.422,,,,,,,,,,,,,,,,,,,,,,,,,,
stroll,1:31.372,1:26.502,1:26.248,1:26.101,1:26.050,1:39.281,1:26.753,1:26.441,1:26.362,1:26.084,1:26.703,1:26.451,1:26.869,1:26.872,1:31.280,1:41.299,1:26.183,1:26.007,1:26.240,1:26.090,1:25.949,1:30.487,1:45.004,1:25.416,1:24.887,1:24.589,1:24.725,1:41.666,1:24.522,1:49.239,1:24.165,1:24.346,1:24.374,1:24.341,1:24.284,1:24.348,1:24.290,1:24.412,1:24.225,1:24.463,1:27.820,1:26.899,1:24.758,1:24.466,1:24.542,1:24.450,1:24.612,1:24.671,1:24.855,1:24.552,1:24.623,1:24.614,
vettel,1:29.463,1:25.527,1:25.122,1:24.930,1:25.118,1:51.038,1:54.863,1:25.412,1:25.085,1:24.982,1:24.854,1:29.446,1:52.766,1:25.070,1:25.179,1:25.088,1:25.610,1:24.924,1:24.857,1:24.793,1:25.883,1:25.508,1:25.308,1:25.692,1:24.773,1:24.719,1:24.786,1:41.176,1:25.180,1:48.076,1:25.647,1:27.703,1:25.320,1:24.603,1:26.686,1:24.383,1:24.343,1:24.549,1:24.982,1:25.743,1:29.492,1:44.643,1:23.454,1:24.031,1:23.307,1:23.587,1:23.302,1:23.255,1:23.025,1:22.799,1:22.958,1:22.912,
